City,Population,Users
NEW YORK NY,"84,05,837","3,02,149"
CHICAGO IL,"19,55,130","1,64,468"
LOS ANGELES CA,"15,95,037","1,44,132"
MIAMI FL,"13,39,155","17,675"
SILICON VALLEY,"11,77,609","27,247"
ORANGE COUNTY,"10,30,185","12,994"
SAN DIEGO CA,"9,59,307","69,995"
PHOENIX AZ,"9,43,999","6,133"
DALLAS TX,"9,42,908","22,157"
ATLANTA GA,"8,14,885","24,701"
DENVER CO,"7,54,233","12,421"
AUSTIN TX,"6,98,371","14,978"
SEATTLE WA,"6,71,238","25,063"
TUCSON AZ,"6,31,442","5,712"
SAN FRANCISCO CA,"6,29,591","2,13,609"
SACRAMENTO CA,"5,45,776","7,044"
PITTSBURGH PA,"5,42,085","3,643"
WASHINGTON DC,"4,18,859","1,27,001"
NASHVILLE TN,"3,27,225","9,270"
BOSTON MA,"2,48,968","80,021"
